state_name,district_name,market,commodity_group,commodity,unit_of_measure,price_local,currency,price_flag,price_type,data_period_start,data_period_end,latitude,longitude,year,multidimensional_poverty_index,poverty_headcount_ratio,poverty_intensity,vulnerability_rate,severe_poverty_rate,price_to_poverty_ratio,poverty_weighted_price,geo_missing,cluster
andhra pradesh,Krishna,Vijaywada,cereals and tubers,Potatoes,KG,15.55,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,2.18589220950828,0.43229,False,0
andhra pradesh,Krishna,Vijaywada,cereals and tubers,Rice,KG,37.0,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,5.20115831201327,1.0286,False,0
andhra pradesh,Krishna,Vijaywada,cereals and tubers,Wheat flour,KG,33.03,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,4.643088082318873,0.918234,False,0
andhra pradesh,Krishna,Vijaywada,milk and dairy,Milk (pasteurized),L,42.0,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,5.904017543366415,1.1676,False,0
andhra pradesh,Krishna,Vijaywada,miscellaneous food,Salt (iodised),KG,12.19,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,1.7135708060389665,0.338882,False,0
andhra pradesh,Krishna,Vijaywada,miscellaneous food,Sugar,KG,37.84,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,5.319238662880598,1.051952,False,0
andhra pradesh,Krishna,Vijaywada,miscellaneous food,Sugar (jaggery/gur),KG,51.42,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,7.228204335235739,1.429476,False,0
andhra pradesh,Krishna,Vijaywada,oil and fats,Ghee (vanaspati),KG,70.39,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,9.89485225898957,1.956842,False,0
andhra pradesh,Krishna,Vijaywada,oil and fats,Oil (mustard),KG,122.48,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,17.21723973122663,3.404944,False,0
andhra pradesh,Krishna,Vijaywada,oil and fats,Oil (palm),KG,70.0,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,9.840029238944023,1.946,False,0
andhra pradesh,Krishna,Vijaywada,oil and fats,Oil (soybean),KG,84.19,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,11.83474373752425,2.340482,False,0
andhra pradesh,Krishna,Vijaywada,pulses and nuts,Lentils,KG,59.03,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,8.297956085355224,1.641034,False,0
andhra pradesh,Krishna,Vijaywada,pulses and nuts,Lentils (moong),KG,74.03,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,10.40653377941466,2.058034,False,0
andhra pradesh,Krishna,Vijaywada,vegetables and fruits,Onions,KG,14.58,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,2.0495375186257694,0.405324,False,0
andhra pradesh,Krishna,Vijaywada,vegetables and fruits,Tomatoes,KG,19.06,INR,actual,Retail,2019-01-15,2019-02-14,16.51,80.64,2019,0.0278,7.1138,39.1028,16.0771,0.9091,2.6792993899181874,0.529868,False,0
assam,Kamrup,Guwahati,cereals and tubers,Potatoes,KG,12.07,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,0.5637420891618599,1.085093,False,0
assam,Kamrup,Guwahati,cereals and tubers,Rice,KG,30.0,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,1.4011816632026342,2.697,False,0
assam,Kamrup,Guwahati,cereals and tubers,Wheat,KG,30.0,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,1.4011816632026342,2.697,False,0
assam,Kamrup,Guwahati,milk and dairy,Milk (pasteurized),L,56.0,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,2.615539104644917,5.0344,False,0
assam,Kamrup,Guwahati,miscellaneous food,Sugar,KG,40.0,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,1.8682422176035125,3.596,False,0
assam,Kamrup,Guwahati,miscellaneous food,Sugar (jaggery/gur),KG,41.4,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,1.9336306952196352,3.72186,False,0
assam,Kamrup,Guwahati,miscellaneous food,Tea (black),KG,200.0,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,9.34121108801756,17.98,False,0
assam,Kamrup,Guwahati,oil and fats,Ghee (vanaspati),KG,75.0,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,3.502954158006585,6.7425,False,0
assam,Kamrup,Guwahati,oil and fats,Oil (soybean),KG,90.0,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,4.203544989607903,8.091,False,0
assam,Kamrup,Guwahati,pulses and nuts,Lentils (masur),KG,65.0,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,3.035893603605708,5.8435,False,0
assam,Kamrup,Guwahati,pulses and nuts,Lentils (moong),KG,75.0,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,3.502954158006585,6.7425,False,0
assam,Kamrup,Guwahati,vegetables and fruits,Tomatoes,KG,40.0,INR,actual,Retail,2019-01-15,2019-02-14,26.18,91.73,2019,0.0899,21.4105,41.9974,21.6924,5.4333,1.8682422176035125,3.596,False,0
bihar,Banka,Bhagalpur,cereals and tubers,Potatoes,KG,16.16,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,0.4662314019543636,2.495104,False,1
bihar,Banka,Bhagalpur,cereals and tubers,Rice,KG,29.88,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,0.8620664783661128,4.613472,False,1
bihar,Banka,Bhagalpur,milk and dairy,Milk (pasteurized),L,40.0,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,1.1540381236494148,6.176,False,1
bihar,Banka,Bhagalpur,miscellaneous food,Sugar (jaggery/gur),KG,44.8,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,1.2925226984873446,6.91712,False,1
bihar,Banka,Bhagalpur,miscellaneous food,Tea (black),KG,250.0,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,7.212738272808842,38.6,False,1
bihar,Banka,Bhagalpur,oil and fats,Ghee (vanaspati),KG,99.91,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,2.882498723345326,15.426104,False,1
bihar,Banka,Bhagalpur,oil and fats,Oil (mustard),KG,110.0,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,3.1736048400358907,16.984,False,1
bihar,Banka,Bhagalpur,oil and fats,Oil (palm),KG,96.67,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,2.789021635329723,14.925848,False,1
bihar,Banka,Bhagalpur,oil and fats,Oil (soybean),KG,101.0,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,2.9139462622147723,15.5944,False,1
bihar,Banka,Bhagalpur,pulses and nuts,Lentils (moong),KG,76.24,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,2.1995966636757847,11.771456,False,1
bihar,Banka,Bhagalpur,vegetables and fruits,Onions,KG,20.16,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,0.581635214319305,3.112704,False,1
bihar,Banka,Bhagalpur,vegetables and fruits,Tomatoes,KG,20.4,INR,actual,Retail,2019-01-15,2019-02-14,24.88,86.92,2019,0.1544,34.6609,44.5458,19.9787,13.1912,0.5885594430612016,3.14976,False,1
bihar,Patna,Patna,cereals and tubers,Rice,100 KG,3200.0,INR,actual,Wholesale,2019-01-15,2019-02-14,25.6,85.12,2019,0.1544,34.6609,44.5458,19.9787,13.1912,92.32304989195318,494.08,False,3
bihar,Patna,Patna,cereals and tubers,Rice,KG,33.0,INR,actual,Retail,2019-01-15,2019-02-14,25.6,85.12,2019,0.1544,34.6609,44.5458,19.9787,13.1912,0.9520814520107672,5.0952,False,1
bihar,Patna,Patna,cereals and tubers,Wheat,100 KG,2111.04,INR,actual,Wholesale,2019-01-15,2019-02-14,25.6,85.12,2019,0.1544,34.6609,44.5458,19.9787,13.1912,60.90551601372152,325.944576,False,3
bihar,Patna,Patna,milk and dairy,Milk,L,42.0,INR,actual,Retail,2019-01-15,2019-02-14,25.6,85.12,2019,0.1544,34.6609,44.5458,19.9787,13.1912,1.2117400298318854,6.4848,False,1
